N,P,K,temperature,humidity,ph,rainfall,label
18.4,59.8,14.0,19.63,26.08,6.39,109.38,kidneybeans
25.9,24.9,34.5,30.06,39.64,5.65,95.76,mango
10.7,149.2,207.5,23.32,94.34,6.44,92.79,apple
25.0,49.0,19.2,30.0,43.37,6.7,67.04,mothbeans
21.1,65.9,26.1,17.71,21.58,5.67,104.46,kidneybeans
9.8,25.6,38.6,21.59,90.51,6.66,117.83,pomegranate
128.7,55.9,23.7,24.62,72.4,7.33,95.46,cotton
98.9,37.9,22.8,27.5,48.48,6.9,151.03,coffee
103.0,36.9,22.6,22.71,68.25,7.14,83.08,cotton
16.2,84.5,25.1,33.53,56.7,5.63,160.09,pigeonpeas
24.0,51.2,20.5,23.88,52.04,7.44,53.04,mothbeans
90.0,22.7,41.9,29.32,92.54,6.3,28.01,muskmelon
16.8,75.5,22.8,36.03,47.27,6.15,191.35,pigeonpeas
118.4,20.5,42.9,26.23,89.32,5.69,33.88,muskmelon
26.0,24.1,38.7,30.19,52.29,6.31,83.91,mango
71.4,25.8,27.1,27.27,58.09,6.95,157.85,coffee
21.6,138.3,191.8,24.58,83.62,5.85,80.03,grapes
35.4,63.9,87.9,18.54,24.95,6.74,76.29,chickpea
24.9,141.2,202.6,25.69,82.93,6.08,83.76,grapes
17.5,62.6,19.8,23.36,30.73,5.59,156.32,pigeonpeas
16.5,11.4,39.9,21.94,90.48,6.49,112.26,pomegranate
13.9,67.3,20.2,26.08,66.12,7.31,52.58,lentil
19.4,130.9,204.0,25.41,79.25,6.61,54.42,grapes
19.5,35.5,34.3,23.62,48.73,5.45,101.83,mango
116.2,42.0,34.9,23.96,67.88,6.54,53.48,wheat
115.1,51.5,18.8,22.69,74.81,7.12,87.3,cotton
34.6,72.9,12.6,29.28,61.19,6.79,56.76,blackgram
30.8,53.5,27.1,25.74,87.08,6.75,37.2,mungbean
35.6,73.7,78.7,18.82,20.47,7.5,57.88,chickpea
126.8,40.1,19.3,20.31,72.64,6.92,58.79,cotton
109.5,50.5,16.0,25.94,81.65,6.48,107.16,cotton
127.5,42.5,18.5,27.67,93.31,7.15,65.67,cotton
11.9,49.4,25.1,31.79,99.27,6.58,50.02,mungbean
22.0,125.1,215.1,25.44,98.47,5.19,107.78,apple
82.4,49.4,14.7,24.71,68.11,6.85,72.8,maize
32.3,64.0,18.0,24.0,59.79,6.53,74.53,blackgram
16.8,16.2,6.6,29.36,91.75,7.6,123.7,orange
112.5,32.9,22.0,21.31,51.8,6.98,182.65,coffee
40.7,58.6,40.9,28.91,92.01,6.12,211.01,papaya
48.8,83.8,10.3,36.97,71.15,7.11,62.84,blackgram
55.9,58.8,42.9,30.98,88.18,6.42,137.35,papaya
21.8,117.1,206.8,27.24,82.84,5.75,73.4,grapes
94.7,39.0,19.9,24.71,78.4,6.41,91.99,cotton
75.3,59.4,19.5,19.52,70.73,5.27,42.59,maize
85.5,48.7,40.1,13.3,65.41,6.58,91.18,wheat
86.8,67.2,11.8,20.78,57.77,6.62,75.13,maize
89.3,18.6,44.4,27.38,94.49,5.3,19.22,muskmelon
12.7,22.4,39.5,19.13,93.14,6.47,114.66,pomegranate
85.7,48.9,39.1,22.59,76.71,6.35,191.52,jute
102.3,20.0,30.6,25.97,54.19,6.99,191.02,coffee
16.6,44.0,27.7,26.92,51.69,7.61,59.09,mothbeans
18.6,13.4,30.3,24.67,99.17,6.69,195.51,coconut
12.2,145.1,166.5,26.48,87.61,6.48,137.29,apple
82.9,22.5,57.2,27.84,93.67,6.97,29.3,muskmelon
89.5,21.9,29.3,22.48,55.67,6.96,197.78,coffee
108.5,80.7,45.4,32.84,75.34,6.03,92.37,banana
88.5,29.0,44.4,22.78,82.01,6.63,246.72,rice
44.7,72.4,20.5,29.96,64.78,6.57,45.86,blackgram
117.1,94.2,37.3,24.37,84.61,5.49,94.62,banana
14.3,19.2,37.5,28.38,89.27,6.14,117.25,pomegranate
11.7,57.1,12.3,30.28,69.02,6.73,31.69,lentil
44.7,55.9,84.0,19.86,15.65,6.75,79.15,chickpea
92.2,27.9,32.9,23.42,50.28,6.62,206.29,coffee
23.2,34.4,12.2,32.2,52.81,7.47,58.33,mothbeans
26.4,66.8,19.7,31.22,65.12,6.6,83.63,blackgram
24.0,32.7,21.0,31.08,57.58,6.43,57.19,mango
18.5,55.2,27.9,25.79,61.43,5.92,41.85,mothbeans
51.1,75.7,21.5,28.42,73.8,7.52,52.5,blackgram
22.9,20.2,33.5,26.43,55.49,5.44,118.37,mango
21.8,68.9,68.0,15.07,17.35,7.25,95.41,chickpea
103.0,50.7,21.3,23.88,82.32,6.7,50.1,cotton
10.1,72.7,11.7,22.65,60.48,6.9,31.17,lentil
19.4,18.5,29.9,26.68,94.09,6.81,202.69,coconut
102.3,39.8,49.7,25.16,73.82,6.51,79.86,wheat
132.0,19.6,43.5,26.79,92.86,7.3,30.55,muskmelon
18.7,71.1,17.5,22.98,73.97,7.06,49.88,lentil
22.9,47.2,20.3,26.86,48.51,6.86,64.04,mothbeans
24.9,23.8,32.5,25.33,92.89,5.63,175.79,coconut
105.7,23.8,37.4,18.09,64.25,6.58,82.12,wheat
20.4,95.0,181.7,24.32,93.76,6.22,128.36,apple
86.1,55.8,38.6,27.02,61.93,6.03,62.49,wheat
11.5,46.6,20.9,25.53,44.62,6.55,37.24,mothbeans
21.5,17.6,45.1,21.21,86.27,6.0,84.53,pomegranate
18.8,19.1,30.2,22.33,89.73,6.17,134.55,pomegranate
39.7,83.0,90.0,21.9,14.09,7.18,66.2,chickpea
29.3,48.6,20.9,31.53,55.66,6.89,57.13,mothbeans
76.6,35.1,24.6,24.1,42.96,5.88,68.43,maize
13.0,63.3,27.0,18.76,19.29,5.53,98.31,kidneybeans
106.6,14.4,52.9,29.31,91.77,6.74,13.27,muskmelon
33.6,69.3,15.5,34.01,70.67,7.37,59.51,blackgram
20.1,55.7,16.1,32.07,55.21,6.78,82.55,blackgram
86.2,11.0,50.2,27.16,95.26,6.22,45.05,watermelon
21.0,123.8,188.6,23.59,96.26,4.92,108.71,apple
33.6,55.4,30.0,27.46,46.81,6.83,43.29,mothbeans
92.1,53.8,22.0,18.9,56.19,6.15,105.83,maize
22.3,59.1,19.9,21.12,25.17,5.86,146.73,kidneybeans
19.0,83.1,20.6,28.02,51.53,5.27,108.85,pigeonpeas
16.8,80.1,22.2,21.29,50.01,7.65,48.46,lentil
21.4,43.9,13.8,30.87,87.92,7.16,51.47,mungbean
18.3,19.5,31.3,27.51,91.07,6.22,205.13,coconut
99.8,80.7,48.4,23.12,73.5,4.92,131.47,banana
75.1,91.9,55.9,32.84,79.42,6.48,145.07,banana
44.1,40.1,59.4,36.03,92.22,6.63,158.11,papaya
18.0,16.0,38.6,19.11,86.44,6.89,114.36,pomegranate
84.6,21.9,54.9,27.95,83.94,6.54,37.58,watermelon
75.4,47.0,55.2,23.97,95.45,6.18,245.52,rice
12.4,72.5,21.3,25.54,69.05,7.19,50.84,lentil
16.4,73.5,23.6,21.32,38.22,5.21,149.36,pigeonpeas
19.8,56.0,14.0,29.39,44.59,5.32,145.3,pigeonpeas
67.0,52.2,32.7,23.9,88.53,5.65,295.17,rice
40.6,66.8,15.2,29.67,59.55,7.13,72.72,blackgram
48.9,78.2,17.6,26.32,70.18,7.19,75.32,blackgram
102.8,48.7,48.0,22.8,77.53,6.06,280.82,rice
34.1,21.2,35.2,24.26,92.57,6.16,157.19,coconut
95.8,54.9,21.1,25.02,62.3,6.54,84.01,maize
89.0,50.0,12.1,19.18,55.36,5.95,76.66,maize
10.7,121.0,194.4,20.07,78.35,6.26,74.86,grapes
9.2,146.6,209.5,25.8,80.62,6.33,56.13,grapes
17.6,74.9,16.4,24.19,51.0,6.0,158.34,pigeonpeas
92.1,15.6,49.6,22.35,90.61,6.69,47.58,watermelon
20.6,59.4,29.2,30.27,49.96,5.66,41.69,mothbeans
63.9,57.5,49.8,33.41,85.65,7.29,138.05,papaya
121.9,78.6,52.0,26.92,85.26,5.83,84.04,banana
20.5,149.7,198.2,22.61,92.21,5.75,117.29,apple
22.1,70.1,12.6,28.9,61.26,6.59,37.79,lentil
25.7,66.5,17.4,26.37,57.46,5.42,148.22,pigeonpeas
18.3,132.3,184.8,20.75,80.49,5.7,63.52,grapes
35.7,76.0,87.1,19.94,19.16,7.31,95.4,chickpea
75.9,81.9,31.8,27.37,92.35,5.61,90.41,banana
108.3,21.2,51.0,21.8,91.23,6.78,54.1,watermelon
90.6,39.4,41.3,23.77,81.53,7.15,190.13,jute
48.5,72.1,77.1,21.84,10.0,7.44,78.39,chickpea
12.5,46.3,18.3,30.58,40.74,6.58,41.3,mothbeans
92.3,57.6,37.1,23.76,79.31,7.68,158.37,jute
93.4,59.8,19.2,24.86,52.69,6.16,80.7,maize
89.7,16.4,55.4,23.17,86.8,6.77,45.86,watermelon
25.8,138.7,172.9,20.34,88.96,5.05,120.37,apple
79.3,31.0,43.1,18.98,61.46,6.8,74.87,wheat
22.1,76.7,13.5,25.95,36.46,5.82,147.39,pigeonpeas
13.2,12.0,10.8,24.71,89.24,6.62,114.74,orange
96.5,16.8,56.1,26.14,100.0,6.18,18.47,muskmelon
18.7,28.3,32.9,32.26,47.05,5.15,96.44,mango
15.1,57.6,20.4,23.6,58.9,5.55,166.04,pigeonpeas
21.9,21.6,47.1,16.32,95.99,6.45,138.27,pomegranate
21.2,27.6,29.8,29.48,53.83,5.59,100.9,mango
20.8,142.0,206.0,20.43,96.07,5.82,95.38,apple
15.2,18.6,28.1,30.23,94.09,6.1,184.35,coconut
19.9,25.9,40.7,26.87,93.43,6.29,107.37,pomegranate
96.8,28.8,40.9,26.1,60.01,6.31,178.36,coffee
16.0,26.9,19.3,34.14,58.09,5.3,84.93,mango
26.6,64.1,23.4,21.51,23.53,5.88,138.61,kidneybeans
21.5,70.1,15.4,27.2,65.83,7.8,47.13,lentil
18.9,64.3,15.3,23.11,67.44,6.8,53.54,lentil
19.0,21.0,35.6,22.1,89.98,6.82,101.02,pomegranate
61.1,45.1,37.1,23.04,71.81,6.85,131.01,jute
102.8,87.2,39.7,26.51,83.69,5.63,127.31,banana
11.2,13.5,35.9,23.91,86.42,6.01,103.43,pomegranate
33.5,61.7,23.8,28.14,72.14,6.85,46.22,blackgram
28.9,17.7,15.0,20.47,90.97,6.7,118.07,orange
39.3,64.3,74.2,18.59,15.6,7.31,103.65,chickpea
100.6,18.2,39.3,25.51,91.02,6.2,20.68,muskmelon
88.7,39.5,34.6,21.43,57.62,6.33,68.04,wheat
114.9,80.3,54.3,29.81,71.86,5.98,107.16,banana
23.3,25.4,23.9,31.44,51.61,5.81,99.22,mango
18.6,32.0,14.6,29.61,85.63,6.44,38.71,mungbean
42.6,57.7,80.0,17.45,19.27,7.72,91.8,chickpea
24.1,14.6,5.3,28.91,97.26,7.59,121.25,orange
40.6,64.0,54.0,33.24,98.18,6.47,145.45,papaya
78.6,82.8,53.9,28.1,81.13,5.94,62.72,banana
13.0,54.2,16.3,20.78,22.0,5.85,104.6,kidneybeans
29.0,45.6,29.3,31.28,48.44,7.06,54.92,mothbeans
21.1,143.1,206.4,22.11,89.53,6.34,61.18,grapes
18.6,125.6,245.6,20.81,82.69,7.08,75.07,grapes
28.4,70.6,79.6,13.71,19.94,6.93,101.63,chickpea
38.0,60.6,15.4,28.28,68.66,7.03,60.82,blackgram
19.8,63.0,17.6,29.24,63.34,6.92,48.89,lentil
46.8,69.5,16.9,32.41,61.54,7.04,59.41,blackgram
24.8,72.9,12.7,20.36,13.98,5.91,83.29,kidneybeans
114.7,63.1,28.8,22.8,84.57,6.79,194.55,rice
35.6,60.6,87.0,19.39,17.19,7.52,95.55,chickpea
17.0,78.2,13.3,26.66,60.53,6.62,65.81,lentil
81.2,52.4,19.4,27.57,64.98,6.23,112.21,maize
32.7,70.2,19.7,27.49,58.84,7.26,95.68,blackgram
122.0,89.0,62.4,26.86,81.7,6.36,86.65,banana
129.6,20.2,46.8,28.85,88.87,5.71,22.57,muskmelon
24.3,37.2,13.1,25.31,82.86,6.04,36.74,mungbean
12.3,20.7,34.6,30.08,94.78,6.89,184.25,coconut
26.9,49.6,29.1,30.54,56.86,7.51,42.36,mothbeans
114.4,80.1,64.4,31.19,83.63,6.58,93.38,banana
57.8,68.3,56.1,31.59,96.92,6.2,150.03,papaya
54.8,49.2,35.8,19.97,71.37,6.45,252.71,rice
97.6,41.9,50.1,22.8,61.86,6.03,58.51,wheat
58.2,55.2,44.9,29.9,94.86,6.83,153.7,papaya
22.4,120.5,207.7,16.46,99.71,6.37,75.62,apple
24.4,20.5,13.6,29.98,100.0,7.0,107.91,orange
29.0,131.8,199.5,23.97,86.64,5.84,89.36,grapes
91.2,17.2,50.6,30.2,91.05,5.93,14.81,muskmelon
38.4,56.4,44.5,32.95,82.92,6.4,140.04,papaya
51.9,53.2,39.1,31.23,98.19,7.12,114.14,papaya
95.1,56.7,15.5,19.52,84.08,6.47,62.61,cotton
81.0,53.7,39.1,26.2,85.08,7.09,155.21,jute
28.2,71.3,12.7,20.62,21.51,5.4,58.76,kidneybeans
14.7,117.7,198.9,26.43,85.6,6.34,83.96,grapes
89.0,78.0,55.5,28.46,77.38,6.39,106.08,banana
21.9,57.4,24.0,27.97,41.26,5.4,102.65,pigeonpeas
124.7,12.3,40.6,26.96,82.62,7.62,37.67,watermelon
74.6,13.8,51.2,22.38,88.04,6.76,58.89,watermelon
81.5,35.6,38.8,21.88,70.85,5.53,137.84,jute
14.9,22.6,29.6,20.82,91.95,6.47,84.97,pomegranate
81.1,53.8,20.9,31.99,69.85,4.7,79.2,maize
24.0,133.6,201.4,25.28,95.87,6.23,103.36,apple
18.1,66.7,17.1,28.4,47.82,5.94,157.59,pigeonpeas
93.5,39.5,37.9,20.65,53.34,6.87,69.21,wheat
40.1,54.3,19.7,28.06,61.35,6.7,67.19,blackgram
26.6,21.5,29.1,22.42,98.98,5.77,139.31,coconut
115.7,75.4,43.3,25.76,79.01,6.81,120.31,banana
109.6,34.8,27.9,24.85,47.85,6.99,181.12,coffee
21.2,54.9,23.3,28.47,89.01,6.73,50.05,mungbean
9.7,30.2,44.5,13.08,95.37,6.31,130.39,pomegranate
21.9,60.5,21.4,34.78,47.3,5.29,120.85,pigeonpeas
115.1,46.7,18.1,21.78,88.07,7.09,61.39,cotton
20.6,24.2,42.5,19.12,92.54,6.16,114.01,pomegranate
72.6,41.1,40.5,23.15,83.21,5.35,295.07,rice
32.7,18.2,28.0,21.45,90.02,6.55,197.26,coconut
34.9,71.3,48.5,30.3,89.54,7.22,120.02,papaya
21.4,59.8,16.5,31.22,45.77,5.69,95.93,pigeonpeas
25.1,74.6,16.2,23.72,64.9,7.11,41.08,lentil
22.6,18.5,31.9,28.31,93.94,5.76,156.36,coconut
74.6,40.9,43.0,29.15,82.23,6.15,217.26,rice
35.9,62.8,26.5,32.34,66.61,8.06,60.4,blackgram
82.4,22.2,50.3,25.8,96.98,7.11,32.81,muskmelon
51.4,70.5,74.2,16.69,19.33,6.87,90.78,chickpea
20.2,56.4,22.3,22.5,21.35,5.61,115.98,kidneybeans
59.5,54.3,38.3,25.71,82.44,6.92,266.81,rice
28.7,68.7,34.2,23.08,29.24,6.23,121.62,kidneybeans
91.4,17.4,50.6,26.64,93.08,6.34,33.07,muskmelon
44.8,72.5,37.3,34.67,93.74,6.63,120.23,papaya
142.4,35.2,26.6,27.77,76.97,6.79,79.96,cotton
23.4,39.4,17.9,26.86,49.22,6.19,38.96,mothbeans
89.1,50.9,57.2,24.73,80.22,6.46,279.48,rice
102.8,25.1,54.6,26.57,93.39,7.04,26.51,muskmelon
17.8,19.4,26.7,29.37,93.94,5.14,191.23,coconut
59.2,34.3,14.1,16.12,59.18,6.35,86.08,maize
97.1,22.3,45.1,23.03,90.28,6.19,57.39,watermelon
18.7,11.5,8.0,16.12,94.77,6.98,92.19,orange
28.5,53.3,21.3,25.52,89.34,6.82,50.01,mungbean
3.6,69.1,28.0,23.14,24.96,5.78,167.52,pigeonpeas
15.6,78.9,21.4,20.97,24.46,5.82,119.96,kidneybeans
43.5,52.8,54.7,37.11,92.99,6.46,144.65,papaya
17.6,149.0,185.3,22.28,86.91,5.37,97.44,apple
17.5,13.4,7.6,20.82,91.93,6.39,99.51,orange
27.4,65.6,21.8,17.89,17.01,5.99,110.24,kidneybeans
27.8,124.4,191.6,24.22,87.98,6.35,78.98,grapes
9.6,51.3,26.2,26.9,49.51,6.89,40.96,mothbeans
37.6,66.8,14.7,35.41,64.5,6.93,89.08,blackgram
98.9,41.0,19.9,22.65,75.94,6.41,104.15,cotton
20.7,77.6,20.4,19.36,59.58,5.91,48.01,lentil
118.4,35.8,22.4,28.22,86.76,6.84,75.13,cotton
32.0,69.9,20.2,22.66,19.51,6.3,136.41,kidneybeans
115.2,108.7,40.1,31.06,71.51,5.97,90.06,banana
21.9,25.0,33.7,19.96,94.3,6.44,110.82,pomegranate
102.1,32.1,28.6,29.26,62.47,6.59,154.53,coffee
110.9,18.3,46.3,30.67,85.6,6.56,27.27,muskmelon
23.9,74.9,20.0,19.14,11.51,6.05,89.53,kidneybeans
59.6,49.8,34.5,20.75,81.07,5.47,255.96,rice
41.7,76.9,10.6,30.62,73.44,7.82,56.59,blackgram
104.9,34.5,26.7,21.53,56.81,7.15,176.85,coffee
79.0,35.4,39.0,24.18,93.07,6.87,266.02,rice
24.4,24.7,42.0,20.86,91.05,6.84,107.21,pomegranate
45.5,57.5,83.2,17.2,23.13,7.29,72.45,chickpea
15.3,9.8,10.7,22.66,93.79,6.2,97.77,orange
96.4,22.4,26.3,33.42,47.6,6.74,159.43,coffee
25.4,67.3,23.4,21.54,54.47,6.76,41.18,lentil
40.9,77.8,58.3,17.59,18.0,7.65,86.35,chickpea
14.5,57.1,9.5,31.12,55.04,5.55,148.5,pigeonpeas
29.0,155.1,184.0,23.54,89.28,6.42,55.88,grapes
10.4,61.6,19.5,25.16,56.37,6.32,65.27,lentil
27.2,21.4,36.6,28.16,48.96,5.64,86.66,mango
12.1,21.0,38.8,22.76,90.48,6.48,117.45,pomegranate
18.1,130.7,226.2,31.44,89.78,6.32,74.06,grapes
92.4,16.2,38.9,24.77,90.28,6.55,16.15,muskmelon
20.0,60.3,25.4,25.79,73.2,6.61,37.32,mungbean
70.2,46.9,39.4,27.21,89.2,6.8,174.89,jute
23.9,44.2,11.0,27.91,55.01,7.18,56.37,mothbeans
12.7,134.2,178.2,22.54,93.55,5.6,59.76,grapes
25.9,22.0,24.3,33.32,58.42,5.45,89.78,mango
93.4,50.7,31.9,26.71,84.29,7.01,234.1,rice
51.0,62.0,38.6,35.88,96.74,6.77,150.17,papaya
32.2,58.4,12.0,26.97,68.47,6.99,59.69,blackgram
21.9,21.3,38.9,22.84,86.43,7.02,132.32,pomegranate
17.4,146.6,198.4,24.36,83.39,5.47,83.11,grapes
59.7,66.7,48.4,23.24,76.17,6.83,207.55,jute
80.1,16.9,61.0,30.69,88.09,6.21,32.89,muskmelon
130.9,33.3,23.3,23.67,54.69,6.72,138.14,coffee
45.4,51.7,53.3,33.69,91.96,6.92,167.64,papaya
39.4,64.3,73.6,24.71,21.49,7.82,80.16,chickpea
10.9,56.2,14.9,29.44,63.89,6.92,51.92,lentil
94.4,17.9,37.4,27.04,78.76,6.57,49.9,watermelon
91.7,60.0,46.5,19.72,50.54,6.38,90.76,wheat
45.3,66.6,18.9,27.86,62.15,7.35,63.9,blackgram
19.0,16.9,45.2,20.37,84.04,6.08,108.39,pomegranate
47.1,63.1,23.1,30.26,59.56,6.81,60.47,blackgram
29.3,26.7,29.9,28.65,56.69,5.69,99.58,mango
24.2,18.3,44.1,23.03,91.77,6.7,103.25,pomegranate
72.4,56.0,39.5,23.2,77.35,6.64,188.71,jute
28.3,60.1,55.6,34.71,90.48,7.11,136.75,papaya
83.7,65.6,25.6,24.64,61.41,7.09,82.97,maize
122.3,30.4,17.6,24.11,65.29,6.64,179.87,coffee
88.2,15.0,53.8,23.76,88.26,6.57,54.25,watermelon
61.8,55.2,44.2,28.35,77.52,6.41,233.24,rice
87.9,57.0,49.3,16.57,68.03,5.85,62.78,wheat
7.0,10.6,50.8,19.53,87.56,6.78,121.45,pomegranate
119.6,47.6,29.6,17.49,58.52,6.64,89.71,wheat
92.5,45.4,41.7,27.86,80.93,6.59,179.06,jute
14.6,48.8,17.9,32.45,54.66,7.1,40.78,mothbeans
69.0,45.4,39.6,25.23,52.17,6.27,61.34,wheat
36.4,59.6,65.6,29.21,91.56,7.13,148.07,papaya
27.6,159.9,223.1,20.93,92.94,5.66,117.23,apple
25.3,56.6,3.2,22.83,55.8,6.33,72.24,mothbeans
77.2,55.0,4.2,27.44,61.05,7.29,74.78,maize
14.2,69.1,20.7,30.3,48.85,5.61,181.44,pigeonpeas
94.8,45.1,48.4,16.61,61.61,6.71,87.17,wheat
87.2,55.3,46.0,28.2,78.7,6.97,211.21,rice
31.7,64.8,19.3,30.04,63.81,8.1,74.85,blackgram
89.0,36.7,41.1,19.21,49.44,6.83,87.69,wheat
22.0,16.4,48.8,20.98,90.12,6.91,110.81,pomegranate
22.8,13.1,29.2,29.15,95.93,6.36,167.54,coconut
41.3,72.2,45.5,34.18,91.5,7.05,169.13,papaya
94.8,24.2,28.5,21.98,61.43,6.4,125.77,coffee
17.3,24.1,34.9,26.7,49.47,5.69,106.2,mango
85.8,52.3,45.8,21.61,74.46,6.49,164.67,jute
24.2,13.5,10.6,25.97,90.55,6.85,112.47,orange
68.6,65.9,38.7,21.51,79.76,6.88,214.46,rice
44.2,76.1,72.3,17.96,20.69,7.36,96.89,chickpea
53.1,66.2,80.8,17.5,15.26,6.97,71.85,chickpea
102.1,99.8,44.6,23.69,80.01,5.82,98.98,banana
32.1,64.0,44.2,35.06,91.73,6.31,148.78,papaya
19.0,25.3,35.3,25.83,55.62,5.87,100.28,mango
12.5,79.3,25.1,21.24,25.69,6.01,101.26,kidneybeans
23.3,130.0,211.8,24.83,80.62,5.93,66.36,grapes
24.6,10.0,7.1,26.77,90.51,7.5,127.15,orange
98.1,11.0,44.6,29.21,82.55,6.39,52.02,watermelon
23.1,48.1,20.6,25.83,58.14,6.33,47.53,mothbeans
42.8,62.0,91.6,20.85,15.58,7.23,66.38,chickpea
17.4,66.6,17.3,24.86,39.33,4.92,125.84,pigeonpeas
21.9,19.6,9.6,27.68,87.72,7.58,129.95,orange
19.1,22.3,30.6,26.34,98.83,6.04,182.68,coconut
24.4,42.5,6.6,29.22,47.6,6.7,22.18,mothbeans
29.6,58.5,25.7,17.4,81.14,6.89,34.77,mungbean
21.4,76.1,25.3,32.5,54.54,6.05,137.16,pigeonpeas
20.0,19.2,49.4,24.47,87.19,6.59,88.8,pomegranate
99.9,33.4,32.0,27.35,62.01,7.4,194.42,coffee
21.8,17.1,11.8,21.24,88.4,7.1,105.89,orange
13.0,52.2,22.0,32.74,80.97,7.17,48.17,mungbean
77.3,56.3,45.4,23.65,76.84,5.93,212.78,rice
112.6,35.3,31.5,20.23,53.26,6.61,178.99,coffee
21.4,21.3,40.1,18.02,83.32,6.43,102.43,pomegranate
25.1,64.3,24.1,29.32,61.11,4.04,133.93,pigeonpeas
94.9,93.9,47.5,27.76,80.64,5.4,114.66,banana
32.1,69.4,84.0,16.79,16.52,7.28,85.89,chickpea
23.0,19.4,5.9,22.16,94.76,7.43,67.87,orange
26.5,18.1,5.4,24.34,89.52,7.15,97.48,orange
67.0,14.9,52.8,31.89,99.58,6.48,28.03,muskmelon
57.1,72.5,45.0,33.58,92.32,6.62,152.98,papaya
103.9,46.6,12.2,25.62,73.5,6.61,53.73,cotton
103.8,17.9,29.1,23.22,57.07,6.91,162.46,coffee
24.4,21.5,27.7,26.89,94.65,6.21,114.24,coconut
22.7,52.2,18.8,18.47,85.4,6.74,40.69,mungbean
50.7,55.7,40.4,37.88,93.33,6.84,167.56,papaya
23.4,26.2,34.9,32.42,90.91,5.96,182.93,coconut
75.2,44.7,31.3,22.22,78.26,7.12,159.01,jute
21.0,53.8,25.0,24.96,89.19,6.9,62.25,mungbean
109.1,50.1,37.0,25.65,78.96,5.73,244.06,rice
102.2,12.7,48.1,33.36,96.11,5.97,21.41,muskmelon
38.0,50.9,22.2,32.92,62.83,7.48,75.05,blackgram
20.7,18.5,12.1,28.74,89.0,6.53,125.32,orange
28.1,16.4,33.2,29.84,50.96,5.68,119.86,mango
24.7,10.4,11.4,23.72,97.62,7.65,131.43,orange
63.3,28.2,14.1,27.89,56.22,5.92,61.78,maize
20.0,66.3,22.8,16.42,18.12,6.51,115.13,kidneybeans
106.0,48.7,16.7,22.54,88.91,6.73,81.43,cotton
72.8,44.3,41.0,22.47,32.76,5.73,66.51,wheat
27.1,127.5,215.0,22.33,96.64,5.99,119.92,apple
9.5,60.6,16.2,17.06,50.36,6.42,57.49,lentil
9.2,71.2,21.6,15.92,17.87,5.64,95.27,kidneybeans
50.8,68.5,51.2,38.12,95.76,6.58,136.23,papaya
42.4,68.4,20.9,27.63,64.93,7.01,76.51,blackgram
20.6,23.8,44.8,20.88,90.21,7.17,99.63,pomegranate
16.8,53.4,21.3,21.43,78.27,6.47,59.84,mungbean
79.7,17.5,42.7,26.84,92.41,6.24,27.42,muskmelon
9.0,135.2,173.4,19.81,93.35,5.11,121.32,apple
22.9,67.5,21.2,33.66,43.19,5.91,106.54,pigeonpeas
13.8,51.4,19.5,19.91,66.52,6.16,53.81,lentil
20.3,67.8,26.8,30.38,50.36,4.71,139.59,pigeonpeas
108.2,39.6,37.2,20.0,73.46,6.62,89.04,wheat
19.7,22.0,26.0,25.44,53.55,5.76,95.07,mango
13.6,62.9,18.4,27.78,55.92,5.34,130.56,pigeonpeas
43.0,66.3,94.9,16.94,21.48,6.88,73.02,chickpea
80.4,19.7,51.8,28.13,89.87,6.52,12.32,muskmelon
93.3,43.8,43.1,29.52,78.55,6.66,171.36,jute
19.4,63.5,14.7,22.94,66.97,6.92,46.86,mothbeans
83.0,17.7,52.5,25.54,83.66,6.85,30.37,watermelon
64.2,48.4,35.1,21.47,90.64,7.26,207.99,jute
25.4,124.6,209.8,24.29,91.03,5.69,101.41,apple
131.9,36.8,9.3,24.46,74.78,7.02,71.95,cotton
19.7,26.2,38.4,22.96,92.64,6.0,91.68,pomegranate
86.8,49.2,39.1,22.28,62.7,6.92,88.51,wheat
37.0,70.2,40.4,33.36,93.03,6.34,123.58,papaya
18.9,67.2,16.9,27.99,20.95,5.77,95.3,kidneybeans
104.9,59.4,39.7,20.52,53.86,6.5,96.48,wheat
108.8,26.2,31.5,22.68,65.29,6.61,156.67,coffee
16.0,71.9,20.7,25.21,79.99,6.28,48.86,lentil
75.3,22.0,31.0,21.78,59.77,6.96,221.34,coffee
18.0,52.0,24.4,26.42,92.85,6.71,35.67,mungbean
18.2,42.2,16.2,26.78,88.43,6.48,50.84,mungbean
78.2,42.4,32.1,15.81,66.55,6.03,69.58,maize
18.2,141.6,216.4,20.8,90.71,6.03,122.76,apple
21.3,10.1,13.8,23.62,100.0,7.15,137.47,orange
48.7,69.3,20.1,23.95,56.22,7.5,58.8,blackgram
12.1,16.0,38.0,21.56,91.02,6.51,106.82,pomegranate
76.3,48.0,36.5,17.13,45.29,6.96,72.89,wheat
26.8,74.1,29.1,17.62,20.07,6.14,141.31,kidneybeans
60.2,96.2,47.3,28.67,78.28,5.75,128.74,banana
10.0,142.4,207.0,23.9,79.36,5.46,74.05,grapes
135.7,78.9,41.2,28.66,74.86,5.89,88.22,banana
16.8,16.7,40.0,23.35,92.46,5.85,158.8,coconut
113.0,45.2,20.4,28.32,81.6,7.36,71.47,cotton
10.8,67.9,25.9,22.18,19.28,5.4,124.2,kidneybeans
